title,description,property_type,transaction_type,province,city,district,town,detail_address,total_price,unit_price,area,room_count,hall_count,bathroom_count,floor_info,total_floors,build_year,decoration_type,cover_image_url,tags,contact_phone,contact_name
灵山湘桂盛天名城四房出售,湘桂盛天名城，四房两厅两卫，25楼，南朝向，采光好，临近灵山中学,1,1,广西,钦州市,灵山县,灵城镇,湘桂盛天名城,850000,5500,155,4,2,2,25/30,30,2020,2,,"学区房,电梯房,拎包入住",,
灵山阳光新街两房出售,阳光新街大2房，0首付，拎包入住，位置好,1,1,广西,钦州市,灵山县,灵城镇,阳光新街,450000,4200,107,2,2,1,15/25,25,2018,3,,"低价房,拎包入住",,
灵山三科小区毛胚房出售,三科毛胚房出售，可自由装修，户型方正,1,1,广西,钦州市,灵山县,灵城镇,三科小区,380000,3800,100,3,2,1,10/18,28,2015,1,,"毛坯房,低价",,
灵山峯林府新房出售,峯林府新楼盘出售，电梯房，户型设计合理,1,1,广西,钦州市,灵山县,灵城镇,峯林府小区,680000,5200,130,3,2,2,20/28,28,2023,1,,"新房,电梯房",,
灵山港泰城毛坯房出售,港泰城小区，毛坯房出售，采光好,1,1,广西,钦州市,灵山县,灵城镇,港泰城小区,520000,4500,115,3,2,1,12/26,26,2020,1,,"毛坯房,新房",,
灵山锦绣花园三房出售,锦绣花园电梯房，三室两厅，装修精美,1,1,广西,钦州市,灵山县,灵城镇,锦绣花园,620000,4800,130,3,2,1,18/26,26,2019,3,,"电梯房,学区房",,
灵山步行街商铺出售,步行街核心位置商铺，人流量大，适合投资,2,1,广西,钦州市,灵山县,灵城镇,步行街,1500000,12000,125,1,0,0,1/3,3,2018,3,,"商铺,投资,人流大",,
灵山陆屋新城两房出售,陆屋新城电梯房，两室一厅，通风采光好,1,1,广西,钦州市,灵山县,陆屋镇,陆屋新城,360000,4000,90,2,1,1,12/22,22,2021,2,,"电梯房,低价",,
灵山六峰小区三房出售,六峰小区步梯房，三室两厅，临近六峰山景区,1,1,广西,钦州市,灵山县,灵城镇,六峰小区,480000,4500,107,3,2,1,5/7,7,2012,2,,"步梯房,学区房,景区房",,
灵山天誉岭花园四房出售,天誉岭花园豪华四房，南北通透，豪装,1,1,广西,钦州市,灵山县,灵城镇,天誉岭花园,980000,6200,158,4,2,2,25/32,32,2022,3,,"豪宅,电梯房,豪装",,
灵山檀圩镇自建房出售,檀圩镇自建房，占地宽，可建别墅,1,1,广西,钦州市,灵山县,檀圩镇,檀圩镇区,320000,2600,123,4,2,2,3/3,3,2018,1,,"自建房,占地宽,乡镇",,
灵山灵城小区两房出租,灵城小区两室一厅，配套齐全，拎包入住,1,2,广西,钦州市,灵山县,灵城镇,灵城小区,1200,12,80,2,1,1,5/7,7,2015,3,,"出租,拎包入住",,
灵山二中附近学区房出售,二中附近学区房，三室两厅，读书方便,1,1,广西,钦州市,灵山县,灵城镇,二中附近,550000,5000,110,3,2,1,6/7,7,2010,2,,"学区房,步梯房,读书方便",,
灵山人民医院附近两房出售,人民医院附近，配套成熟，就医方便,1,1,广西,钦州市,灵山县,灵城镇,人民医院附近,420000,4700,89,2,1,1,4/8,8,2016,2,,"配套成熟,就医方便",,
灵山广场附近三房出售,广场附近电梯房，逛街方便，娱乐配套齐全,1,1,广西,钦州市,灵山县,灵城镇,广场附近,680000,5100,133,3,2,2,15/28,28,2021,2,,"电梯房,配套成熟,逛街方便",,
